DIGITAL_ID,AIR_QUALITY_INDEX,PM2_5,PM10,CO2_LEVEL_PPM,UV_INDEX,TEMPERATURE_C,HUMIDITY_PERCENT,NOISE_LEVEL_DB,POLLEN_COUNT,WEATHER,GREEN_SPACE_ACCESS,COMMUTE_TIME_MINUTES,POLLUTION_EXPOSURE_SCORE,ENVIRONMENTAL_RISK
104168,58,51.0,176.4,505,7.5,28.6,35,45.0,322,Sunny,Moderate,34,70.1,Moderate
104169,160,116.1,97.4,827,1.2,17.3,90,86.0,69,Sunny,Good,9,43.8,High
104170,211,77.2,29.6,624,5.8,8.6,97,37.0,352,Snowy,Excellent,8,47.6,High
104171,30,50.0,111.7,707,6.3,38.0,41,54.0,52,Sunny,Moderate,55,77.6,Low
104172,166,122.7,29.1,775,3.1,27.4,92,70.0,161,Sunny,Moderate,110,46.9,High
104173,158,130.7,37.1,881,10.9,34.9,42,91.0,416,Foggy,Good,13,44.9,High
104174,96,102.6,60.3,832,3.7,22.6,62,47.0,92,Snowy,Good,59,62.7,Moderate
104175,146,11.8,190.5,563,2.3,3.6,87,79.0,150,Sunny,Excellent,37,54.9,Moderate
104176,65,87.1,204.2,428,1.2,44.0,62,70.0,57,Snowy,Excellent,119,60.6,Moderate
104177,64,115.7,183.5,488,4.2,4.1,45,63.0,195,Windy,Good,97,59.1,Moderate
104178,20,24.8,80.2,447,7.6,40.6,60,41.0,324,Foggy,Excellent,35,85.3,Low
104179,187,38.2,67.2,1013,2.5,5.4,89,71.0,481,Cloudy,Good,112,51.3,Moderate
104180,127,133.0,125.3,547,8.5,13.7,50,84.0,207,Rainy,Moderate,87,46.5,High
104181,38,7.9,161.6,1134,1.5,17.0,36,88.0,423,Snowy,Excellent,113,75.3,Low
104182,95,114.1,218.6,505,4.8,41.1,28,80.0,302,Rainy,Excellent,58,50.3,Moderate
104183,91,73.7,37.6,399,7.7,39.4,74,82.0,298,Rainy,Poor,115,64.7,Moderate
104184,219,69.8,20.4,828,1.5,36.2,25,38.0,444,Cloudy,Moderate,65,47.4,High
104185,208,6.0,155.8,577,6.6,13.8,89,32.0,425,Cloudy,Excellent,70,50.8,Moderate
104186,128,123.8,184.8,806,8.8,-4.8,83,37.0,61,Foggy,Excellent,24,49.2,High
104187,31,57.2,187.7,871,6.6,29.1,23,,194,Sunny,Moderate,80,69.4,Moderate
104188,208,83.4,152.5,498,5.6,15.5,86,59.0,54,Sunny,Good,118,39.0,High
104189,180,103.2,210.3,407,9.2,32.9,75,96.0,362,Snowy,Moderate,89,35.1,High
104190,64,106.9,117.3,511,10.8,34.7,37,84.0,48,Sunny,Good,65,61.4,Moderate
104191,109,143.6,201.9,826,2.0,17.0,51,63.0,105,Cloudy,Poor,99,46.8,High
104192,122,82.0,,456,7.6,32.4,67,72.0,432,Sunny,Moderate,40,50.3,Moderate
104193,239,63.0,187.9,776,0.9,37.0,48,57.0,77,Rainy,Excellent,88,34.3,High
104194,216,143.3,75.0,744,0.5,41.4,51,66.0,374,Foggy,Good,112,33.6,High
104195,27,98.1,51.2,1150,3.1,24.1,44,59.0,416,Rainy,Moderate,24,74.9,Moderate
104196,172,48.2,125.1,535,10.7,33.9,95,91.0,283,Sunny,Excellent,49,47.9,High
104197,110,23.3,105.1,907,6.1,19.7,82,58.0,56,Foggy,Excellent,104,66.3,Moderate
104198,193,127.2,,795,3.0,-2.9,28,31.0,168,Sunny,Excellent,50,37.2,High
104199,106,57.5,31.0,990,1.5,2.8,90,86.0,375,Cloudy,Good,22,63.9,Moderate
104200,177,100.8,64.1,1179,10.1,1.4,33,,375,Cloudy,Moderate,74,44.2,High
104201,194,73.3,167.9,797,4.0,3.6,39,71.0,206,Foggy,Excellent,101,40.8,High
104202,234,33.8,29.9,436,3.4,-4.5,29,78.0,259,Sunny,Moderate,78,44.5,High
104203,196,92.2,77.4,598,9.4,37.9,30,86.0,275,Rainy,Moderate,22,41.2,High
104204,194,13.8,91.3,1190,6.6,23.0,58,47.0,372,Cloudy,Poor,119,54.2,Moderate
104205,103,64.9,140.7,789,1.9,14.2,38,99.0,344,Sunny,Moderate,68,56.7,Moderate
104206,101,84.3,43.2,606,4.6,15.5,38,56.0,162,Foggy,Poor,38,63.9,Moderate
104207,165,68.2,190.7,626,10.2,18.2,62,83.0,243,Rainy,Poor,83,44.3,High
104208,213,113.6,104.0,1139,9.9,-1.3,80,53.0,249,Snowy,Good,7,37.5,High
104209,87,125.0,202.6,787,0.8,8.7,89,63.0,308,Sunny,Good,76,52.9,Moderate
104210,241,116.8,108.3,865,3.0,37.6,91,51.0,38,Snowy,Good,119,32.1,High
104211,180,10.6,67.8,926,1.7,32.2,84,92.0,308,Windy,Good,15,53.7,Moderate
104212,146,33.1,39.8,551,5.9,23.2,42,65.0,120,Cloudy,Excellent,50,61.3,Moderate
104213,183,82.8,10.8,924,8.2,19.0,79,90.0,85,Rainy,Moderate,100,47.6,High
104214,101,140.5,121.8,1004,3.3,7.9,29,71.0,98,Foggy,Excellent,116,51.8,Moderate
104215,248,126.1,32.5,1105,8.3,18.6,82,62.0,373,Windy,Good,46,32.4,High
104216,166,127.2,92.3,1153,7.4,24.9,21,38.0,245,Cloudy,Good,21,46.4,High
104217,175,49.0,133.7,1146,8.0,30.6,55,54.0,494,Rainy,Poor,51,50.5,Moderate
104218,187,67.3,67.9,529,10.4,3.3,76,42.0,347,Snowy,Excellent,34,50.7,Moderate
104219,103,73.3,46.8,1035,,35.7,85,76.0,393,Sunny,Poor,47,62.7,Moderate
104220,132,27.8,172.7,674,3.8,12.3,98,74.0,207,Rainy,Excellent,12,56.9,Moderate
104221,244,9.5,208.8,972,7.5,20.2,39,34.0,112,Foggy,Moderate,44,41.1,High
104222,95,,31.1,1036,8.9,25.4,61,60.0,470,Foggy,Good,75,58.3,Moderate
104223,141,39.9,42.7,824,2.1,19.4,40,60.0,82,Windy,Good,24,61.7,Moderate
104224,162,39.8,211.6,1014,9.3,23.6,85,70.0,64,Sunny,Poor,80,48.5,High
104225,60,17.1,17.9,749,0.6,0.6,57,75.0,0,Foggy,Good,89,78.8,Low
104226,186,139.6,215.3,566,0.1,16.6,97,81.0,436,Rainy,Good,32,30.9,High
104227,21,,11.0,1158,1.7,9.0,88,34.0,173,Sunny,Moderate,32,81.6,Low
104228,210,101.7,193.5,802,10.8,-0.7,43,,249,Rainy,Moderate,63,36.2,High
104229,48,137.2,74.5,753,5.8,4.6,45,50.0,409,Windy,Poor,66,66.2,Moderate
104230,124,55.1,207.1,589,0.5,25.1,21,38.0,225,Sunny,Moderate,84,56.9,Moderate
104231,221,95.1,76.6,1087,11.0,4.8,65,46.0,385,Foggy,Moderate,116,40.4,High
104232,213,10.6,147.4,535,8.2,4.1,53,53.0,283,Foggy,Good,78,47.7,High
104233,70,32.1,26.8,397,9.2,22.6,81,,83,Sunny,Moderate,58,76.6,Low
104234,94,,60.9,735,2.3,40.2,60,37.0,489,Foggy,Moderate,90,61.3,Moderate
104235,224,116.2,172.5,557,1.2,34.4,34,73.0,238,Foggy,Good,11,29.8,High
104236,29,55.8,121.0,506,5.7,40.3,74,91.0,410,Sunny,Moderate,72,72.9,Moderate
104237,161,59.6,204.9,574,8.5,24.1,22,58.0,27,Sunny,Good,28,47.8,High
104238,229,82.4,100.0,493,7.0,15.5,95,53.0,379,Cloudy,Good,102,38.6,High
104239,70,5.0,192.7,768,6.9,31.5,57,63.0,286,Sunny,Good,45,70.9,Moderate
104240,137,40.0,104.3,460,,8.1,70,89.0,430,Snowy,Good,115,56.4,Moderate
104241,220,35.2,215.6,1179,2.5,-1.1,36,60.0,390,Cloudy,Moderate,58,39.4,High
104242,140,41.3,211.6,814,7.3,12.2,68,33.0,327,Foggy,Excellent,18,56.0,Moderate
104243,58,121.9,79.1,481,4.3,10.0,40,38.0,479,Foggy,Excellent,48,67.2,Moderate
104244,47,45.6,196.0,974,0.8,28.8,43,83.0,458,Sunny,Excellent,53,68.0,Moderate
104245,22,32.8,188.0,1185,2.2,22.6,59,30.0,303,Cloudy,Excellent,67,79.7,Low
104246,103,78.1,,950,8.7,1.9,39,90.0,281,Cloudy,Excellent,85,60.4,Moderate
104247,217,130.5,141.1,1022,9.9,40.4,98,60.0,182,Rainy,Moderate,49,32.2,High
104248,174,40.0,25.3,683,3.1,24.7,54,74.0,344,Cloudy,Good,76,55.2,Moderate
104249,136,16.4,185.7,424,2.1,17.9,67,89.0,134,Sunny,Good,110,55.4,Moderate
104250,21,56.7,46.7,1142,0.3,41.9,52,,467,Sunny,Moderate,81,80.0,Low
104251,112,113.4,24.9,761,10.4,-0.1,75,56.0,360,Sunny,Moderate,11,59.4,Moderate
104252,185,84.9,94.0,868,7.5,34.5,60,87.0,56,Foggy,Excellent,7,43.1,High
104253,150,123.4,,974,10.5,13.2,73,98.0,114,Sunny,Poor,92,41.8,High
104254,163,144.1,189.5,385,9.5,29.8,63,63.0,185,Sunny,Poor,51,37.6,High
104255,113,119.9,214.6,1127,3.7,41.5,91,39.0,477,Rainy,Excellent,92,50.6,Moderate
104256,59,92.6,102.3,974,1.2,20.9,30,,375,Sunny,Moderate,65,63.7,Moderate
104257,21,76.5,22.7,1153,5.5,-3.9,33,54.0,0,Sunny,Excellent,75,80.5,Low
104258,100,10.8,167.3,572,0.3,-3.6,61,32.0,337,Rainy,Excellent,34,69.1,Moderate
104259,188,147.7,128.7,1072,1.6,11.5,98,63.0,455,Rainy,Good,9,35.7,High
104260,31,60.6,104.1,879,2.6,34.1,31,57.0,28,Sunny,Moderate,108,76.2,Low
104261,182,27.1,74.9,590,7.3,9.4,36,38.0,231,Cloudy,Moderate,89,56.4,Moderate
104262,84,101.7,,483,5.6,11.7,97,40.0,149,Cloudy,Good,117,62.9,Moderate
104263,74,46.2,81.1,1081,3.3,34.2,44,68.0,479,Cloudy,Good,76,70.3,Moderate
104264,64,89.9,169.0,740,6.2,0.8,45,42.0,423,Rainy,Good,11,65.0,Moderate
104265,226,90.1,124.2,451,1.4,37.3,66,40.0,189,Sunny,Good,43,38.3,High
104266,237,69.6,194.1,1001,8.3,8.3,44,64.0,269,Cloudy,Poor,6,32.9,High
104267,120,126.2,124.1,1030,7.8,-2.4,79,37.0,247,Snowy,Moderate,47,53.4,Moderate
104268,232,43.4,60.0,847,2.4,0.9,79,,385,Foggy,Good,16,46.4,High
104269,81,70.1,188.7,860,6.7,42.6,46,98.0,418,Windy,Good,32,57.8,Moderate
104270,68,83.0,127.0,1052,5.5,17.6,62,99.0,326,Cloudy,Poor,112,61.6,Moderate
104271,146,101.2,53.4,886,0.7,7.8,95,86.0,194,Cloudy,Moderate,23,50.3,Moderate
104272,242,118.7,140.9,894,3.1,21.1,39,64.0,380,Cloudy,Excellent,32,28.8,High
