DIGITAL_ID,INDOOR_TEMPERATURE_C,INDOOR_HUMIDITY_PERCENT,INDOOR_AQI,INDOOR_CO2_PPM,BEDROOM_NOISE_DB,BEDROOM_LIGHT_LUX,SMART_LIGHTING_HOURS,HVAC_USAGE_HOURS,WATER_CONSUMPTION_LITERS,ENERGY_CONSUMPTION_KWH,SMARTWATCH_CONNECTED,SMART_SCALE_WEIGHT_KG,AIR_PURIFIER,SLEEP_ENVIRONMENT_SCORE,SMART_HOME_STATUS
103069,23.7,57,18,639.0,61.0,49,7.4,5.9,337.3,29.3,Yes,70.2,No,67.0,Fair
103070,25.1,66,73,1416.0,42.0,80,13.0,0.2,131.6,12.5,Yes,84.5,No,63.1,Fair
103071,19.2,54,39,1483.0,31.0,72,5.4,17.2,130.9,8.4,Yes,93.8,No,77.7,Good
103072,28.1,65,145,1049.0,27.0,8,9.9,2.5,261.3,26.3,Yes,39.9,No,86.6,Excellent
103073,23.6,46,142,961.0,40.0,52,3.3,5.2,328.5,7.6,Yes,84.5,Yes,81.7,Good
103074,27.9,53,85,564.0,40.0,87,6.7,2.3,297.4,21.5,Yes,64.2,No,64.8,Fair
103075,20.8,50,138,1230.0,51.0,9,10.9,8.8,268.1,3.0,No,80.9,No,82.1,Good
103076,28.5,31,24,588.0,36.0,83,4.7,16.8,166.2,2.5,Yes,91.6,Yes,63.4,Fair
103077,25.3,60,98,491.0,56.0,80,9.1,1.8,265.3,14.6,Yes,88.3,No,60.3,Fair
103078,24.7,62,137,688.0,43.0,76,3.8,7.9,290.3,20.4,Yes,72.3,Yes,68.7,Fair
103079,23.7,59,35,1498.0,27.0,28,3.2,0.4,276.0,6.0,Yes,72.0,No,98.5,Excellent
103080,22.3,41,70,1476.0,37.0,35,8.3,13.9,253.0,23.4,Yes,79.1,Yes,90.0,Excellent
103081,26.6,41,132,574.0,30.0,86,10.1,11.5,64.1,5.6,Yes,68.2,No,66.4,Fair
103082,23.4,53,76,873.0,29.0,26,3.4,12.6,247.9,16.9,Yes,78.0,No,95.7,Excellent
103083,17.1,53,35,669.0,45.0,17,13.0,8.5,193.5,10.6,Yes,56.7,Yes,74.9,Good
103084,19.6,40,92,806.0,66.0,17,4.7,16.3,338.5,23.1,No,51.0,No,74.3,Good
103085,22.4,42,117,1093.0,25.0,117,3.4,7.4,232.2,24.5,Yes,73.7,No,76.4,Good
103086,23.9,56,120,775.0,36.0,8,4.4,9.3,232.5,,Yes,53.4,No,88.9,Excellent
103087,22.8,37,69,581.0,42.0,66,4.0,12.5,348.2,7.4,Yes,91.8,No,80.8,Good
103088,26.7,39,48,435.0,61.0,6,3.1,9.4,78.1,27.0,Yes,54.5,No,66.4,Fair
103089,17.1,37,132,533.0,56.0,57,11.6,3.4,132.9,13.6,No,60.8,No,62.1,Fair
103090,23.4,49,45,1264.0,47.0,78,7.9,5.7,246.8,15.3,Yes,94.0,Yes,72.4,Good
103091,17.5,37,30,1323.0,35.0,29,6.7,1.7,144.6,6.7,Yes,89.1,No,79.8,Good
103092,25.3,38,127,1089.0,31.0,72,13.4,7.8,153.8,29.9,Yes,85.0,No,74.2,Good
103093,22.7,36,57,890.0,40.0,60,6.5,11.0,317.8,27.8,Yes,75.4,No,81.5,Good
103094,24.3,43,35,1240.0,43.0,104,4.0,2.1,223.8,2.1,Yes,63.1,No,65.1,Fair
103095,20.4,57,45,1387.0,47.0,90,5.3,11.4,80.9,17.4,Yes,60.2,No,66.5,Fair
103096,26.8,31,137,1238.0,56.0,99,4.9,16.1,143.3,26.4,Yes,82.8,Yes,47.6,Poor
103097,26.1,37,24,1469.0,,81,8.0,6.1,72.8,14.1,Yes,80.7,Yes,63.4,Fair
103098,24.8,42,88,1067.0,52.0,94,5.5,4.0,216.8,14.2,Yes,58.4,No,61.4,Fair
103099,22.6,50,143,1419.0,21.0,16,8.2,16.1,102.0,12.6,No,71.4,Yes,100.0,Excellent
103100,24.7,57,37,831.0,56.0,117,10.0,12.5,307.1,2.8,No,88.4,Yes,51.0,Fair
103101,20.9,64,145,1147.0,38.0,52,11.3,1.9,223.2,24.1,Yes,78.9,No,78.3,Good
103102,25.6,52,129,,47.0,5,10.5,7.3,67.8,14.8,Yes,98.3,No,77.9,Good
103103,27.9,44,97,916.0,34.0,38,4.5,12.1,140.3,16.9,Yes,42.4,No,75.1,Good
103104,26.2,31,40,861.0,20.0,24,3.4,10.3,234.9,9.2,Yes,60.2,No,90.2,Excellent
103105,20.8,41,56,1365.0,62.0,41,8.5,11.1,150.6,24.0,Yes,64.6,Yes,71.4,Good
103106,24.1,65,43,580.0,47.0,41,4.4,10.2,204.0,24.2,Yes,64.3,No,74.5,Good
103107,19.1,32,11,544.0,69.0,58,3.0,14.4,322.8,17.5,Yes,75.7,No,57.7,Fair
103108,24.7,34,115,1134.0,54.0,101,8.3,5.8,155.0,27.3,Yes,83.3,Yes,60.0,Fair
103109,24.4,32,103,805.0,51.0,37,5.9,12.8,150.8,5.2,Yes,80.9,No,70.9,Good
103110,17.4,48,81,1212.0,47.0,30,11.1,17.8,295.9,,Yes,77.6,Yes,67.2,Fair
103111,19.5,31,61,1368.0,28.0,114,5.8,7.0,145.6,17.6,Yes,81.3,Yes,72.0,Good
103112,22.2,66,144,1354.0,43.0,28,13.7,14.2,73.4,8.5,Yes,90.3,Yes,87.9,Excellent
103113,22.1,46,99,883.0,23.0,103,11.1,4.4,104.3,5.7,Yes,45.4,Yes,86.6,Excellent
103114,19.4,43,101,881.0,64.0,8,2.7,5.1,334.6,10.4,No,72.0,No,73.6,Good
103115,24.2,57,87,738.0,60.0,0,8.1,16.8,330.0,26.0,Yes,65.6,Yes,82.4,Good
103116,23.8,56,134,667.0,22.0,79,8.8,0.5,117.4,24.1,Yes,53.8,Yes,86.2,Excellent
103117,22.4,39,140,665.0,67.0,101,10.3,3.9,216.1,20.1,Yes,85.1,Yes,55.6,Fair
103118,20.7,32,59,927.0,41.0,86,8.0,8.7,91.2,4.5,Yes,76.9,No,74.3,Good
103119,26.1,65,102,1442.0,59.0,71,7.8,7.2,252.4,28.7,Yes,81.8,Yes,61.7,Fair
103120,28.0,67,133,1271.0,58.0,46,6.4,11.3,105.6,10.6,Yes,61.1,Yes,58.5,Fair
103121,21.5,54,63,1325.0,68.0,75,5.3,3.5,64.9,19.0,Yes,74.0,No,58.6,Fair
103122,21.2,51,143,829.0,44.0,9,13.4,1.3,297.5,24.5,No,71.7,No,90.3,Excellent
103123,24.5,68,87,1194.0,67.0,15,5.8,6.6,147.6,5.7,Yes,87.1,No,68.2,Fair
103124,21.9,59,87,1340.0,41.0,46,2.8,9.4,82.6,20.3,No,48.9,No,88.3,Excellent
103125,22.6,50,29,1460.0,69.0,42,4.0,10.1,300.2,2.9,Yes,86.7,Yes,69.4,Fair
103126,25.2,59,100,702.0,67.0,23,12.3,10.8,278.7,4.9,No,89.5,No,68.4,Fair
103127,17.3,57,108,800.0,66.0,102,9.0,9.9,255.1,22.2,Yes,72.3,No,37.6,Poor
103128,27.0,60,65,1222.0,53.0,7,11.3,4.4,323.4,6.3,Yes,68.6,Yes,70.3,Good
103129,23.2,55,11,743.0,39.0,74,11.7,13.8,196.8,14.4,Yes,52.0,Yes,75.8,Good
103130,21.8,51,114,1262.0,55.0,104,11.9,1.6,88.4,9.0,Yes,76.1,Yes,60.4,Fair
103131,22.7,50,121,917.0,56.0,25,8.6,3.6,68.4,13.8,Yes,58.2,Yes,81.5,Good
103132,22.9,30,33,564.0,58.0,6,4.1,13.3,145.5,,Yes,50.3,Yes,80.5,Good
103133,17.8,66,118,1436.0,46.0,78,3.8,5.0,76.0,23.1,Yes,94.8,No,65.0,Fair
103134,27.5,42,77,424.0,66.0,14,8.9,8.9,210.7,4.2,Yes,71.4,No,63.5,Fair
103135,23.1,50,123,528.0,68.0,47,6.4,5.9,54.3,25.5,Yes,68.5,Yes,70.9,Good
103136,24.3,38,93,1216.0,51.0,2,8.7,9.1,183.1,20.6,Yes,83.3,Yes,86.5,Excellent
103137,25.9,46,58,1417.0,61.0,15,8.0,6.2,103.5,13.7,Yes,51.0,Yes,70.4,Good
103138,19.9,50,41,994.0,48.0,78,9.2,17.9,160.5,26.3,No,71.9,Yes,64.6,Fair
103139,24.4,60,70,835.0,60.0,88,2.4,6.4,252.5,7.2,Yes,88.3,No,59.7,Fair
103140,22.2,68,138,581.0,67.0,96,2.4,11.3,155.3,9.4,Yes,85.5,No,58.8,Fair
103141,25.5,51,111,1015.0,51.0,13,10.7,16.0,152.4,5.8,Yes,72.3,Yes,75.7,Good
103142,16.6,41,44,1143.0,43.0,87,4.3,11.5,347.2,12.7,Yes,63.0,Yes,62.4,Fair
103143,22.7,35,60,442.0,22.0,117,9.8,10.2,265.6,29.6,Yes,61.1,No,72.2,Good
103144,21.2,45,54,803.0,46.0,74,8.6,10.2,204.2,6.5,Yes,66.0,Yes,73.4,Good
103145,24.3,55,86,1004.0,,2,13.8,8.9,223.8,25.3,Yes,106.7,Yes,98.6,Excellent
103146,24.4,34,122,1055.0,59.0,72,12.0,14.5,236.1,,Yes,76.6,Yes,54.2,Fair
103147,20.9,38,74,662.0,42.0,69,7.0,0.9,57.4,2.4,Yes,71.0,Yes,76.5,Good
103148,20.9,69,23,469.0,26.0,30,9.4,15.9,74.1,28.5,Yes,69.5,No,87.5,Excellent
103149,22.7,43,102,1060.0,36.0,118,3.4,10.6,244.8,29.2,Yes,75.7,No,65.9,Fair
103150,20.3,59,140,1271.0,56.0,79,6.6,15.3,159.3,27.9,Yes,94.3,Yes,67.8,Fair
103151,25.5,55,33,1221.0,26.0,74,10.8,0.2,66.6,16.0,Yes,86.3,Yes,80.9,Good
103152,21.9,58,74,546.0,49.0,113,9.5,15.6,139.3,8.2,Yes,66.7,No,60.8,Fair
103153,16.0,48,147,424.0,32.0,16,7.8,2.2,89.1,13.0,Yes,94.2,Yes,78.6,Good
103154,21.9,37,22,1092.0,37.0,48,4.1,13.0,324.9,19.2,Yes,73.3,Yes,84.6,Good
103155,19.9,52,109,650.0,50.0,2,11.6,7.5,110.9,12.6,Yes,76.7,No,83.4,Good
103156,18.1,64,147,881.0,41.0,82,5.3,12.3,93.1,21.8,Yes,56.4,No,66.5,Fair
103157,19.3,60,108,1114.0,33.0,87,11.8,11.3,237.9,24.3,No,76.8,No,75.1,Good
103158,23.3,64,64,1215.0,37.0,54,9.3,2.9,206.6,7.9,Yes,90.3,No,83.5,Good
103159,27.0,61,72,1081.0,54.0,110,6.5,9.3,222.8,13.3,Yes,47.3,Yes,51.4,Fair
103160,23.9,34,80,574.0,36.0,105,2.5,5.0,180.8,28.8,Yes,96.2,No,64.0,Fair
103161,21.2,45,108,401.0,38.0,71,4.8,10.1,190.2,9.0,Yes,68.3,No,73.9,Good
103162,24.4,46,75,1038.0,50.0,112,12.7,13.3,283.6,11.7,Yes,87.2,Yes,57.8,Fair
103163,21.6,61,88,,58.0,99,11.8,1.5,116.0,3.0,Yes,51.3,Yes,64.4,Fair
103164,20.9,67,82,761.0,55.0,39,8.9,9.3,169.0,11.3,Yes,40.5,Yes,73.4,Good
103165,19.5,61,56,969.0,34.0,65,7.6,11.1,337.3,12.4,Yes,75.1,Yes,75.9,Good
103166,17.7,49,90,989.0,48.0,86,9.8,5.3,107.0,4.8,No,50.6,Yes,57.4,Fair
103167,21.8,31,135,601.0,59.0,39,7.6,17.2,138.1,2.0,Yes,59.9,Yes,73.3,Good
103168,23.5,49,61,1404.0,35.0,29,9.7,9.4,107.5,18.1,No,72.8,Yes,86.9,Excellent
103169,22.7,47,32,1485.0,52.0,24,5.7,3.3,56.1,10.4,Yes,86.8,Yes,78.0,Good
103170,21.8,30,149,525.0,44.0,6,12.1,1.9,130.9,2.5,Yes,40.9,Yes,91.2,Excellent
103171,20.2,58,30,1391.0,35.0,91,10.4,9.7,63.9,26.1,Yes,52.9,Yes,70.5,Good
103172,24.8,58,73,448.0,49.0,104,6.0,6.8,96.4,18.4,Yes,54.0,Yes,53.7,Fair
103173,19.0,48,81,1245.0,53.0,49,12.0,3.5,158.8,6.8,Yes,71.5,Yes,69.3,Fair
103174,25.3,69,139,578.0,21.0,80,7.8,0.6,56.2,26.2,Yes,88.1,Yes,78.0,Good
103175,20.0,35,78,892.0,59.0,95,4.1,10.2,275.9,9.1,Yes,75.4,No,55.8,Fair
103176,20.7,68,77,971.0,63.0,0,2.9,10.8,288.7,8.4,Yes,72.8,Yes,79.7,Good
103177,18.6,37,137,701.0,62.0,90,10.4,2.6,173.4,27.0,Yes,66.4,Yes,51.0,Fair
103178,21.5,53,116,1363.0,57.0,43,12.4,10.8,345.4,7.0,No,65.4,No,76.8,Good
103179,25.9,49,118,1389.0,37.0,99,11.7,17.1,253.7,26.6,Yes,41.8,No,60.1,Fair
103180,24.5,43,81,1376.0,24.0,48,9.9,17.6,273.1,24.5,Yes,40.8,No,83.3,Good
103181,25.9,34,112,668.0,66.0,6,3.7,16.0,107.7,10.7,Yes,59.1,No,64.4,Fair
103182,24.6,70,74,,59.0,119,3.1,14.5,301.2,3.0,No,70.6,Yes,51.2,Fair
103183,19.7,69,143,499.0,25.0,2,6.1,3.8,333.5,4.3,Yes,74.2,No,93.6,Excellent
103184,22.0,63,121,614.0,31.0,93,12.3,2.8,120.9,5.1,Yes,86.5,No,83.9,Good
103185,20.7,45,88,1024.0,31.0,0,13.5,8.0,255.9,26.9,Yes,93.0,Yes,98.5,Excellent
103186,27.0,36,135,496.0,31.0,50,4.9,11.2,274.1,13.3,Yes,64.7,No,78.6,Good
103187,19.4,45,130,1218.0,28.0,97,11.1,15.3,141.6,2.9,No,83.3,No,68.4,Fair
103188,25.7,36,96,1029.0,61.0,37,8.9,4.2,192.5,17.6,Yes,69.9,Yes,64.3,Fair
103189,25.7,56,57,,41.0,42,2.4,8.6,79.3,7.8,Yes,58.6,Yes,70.3,Good
103190,28.5,43,97,736.0,68.0,54,8.5,11.7,101.9,8.6,Yes,92.5,Yes,52.4,Fair
103191,21.8,43,77,758.0,69.0,56,11.7,8.0,68.5,6.5,Yes,69.9,Yes,65.5,Fair
103192,25.1,62,110,1215.0,35.0,52,5.3,8.2,218.0,23.3,No,82.6,Yes,76.4,Good
103193,29.8,62,26,759.0,23.0,99,12.8,4.1,237.6,2.0,Yes,89.6,Yes,58.0,Fair
103194,21.1,49,47,1414.0,69.0,32,4.8,17.8,324.8,14.3,Yes,80.0,Yes,71.1,Good
103195,18.4,65,147,746.0,22.0,106,2.9,8.6,212.7,4.4,Yes,65.8,No,74.1,Good
103196,17.4,36,63,951.0,35.0,79,3.9,9.6,128.2,17.5,Yes,84.2,No,70.4,Good
103197,25.1,61,143,937.0,33.0,61,12.0,3.9,67.8,11.7,Yes,48.1,No,78.8,Good
103198,17.4,32,143,1053.0,60.0,101,7.0,9.3,315.5,2.8,No,48.7,Yes,46.3,Poor
103199,21.9,68,61,821.0,57.0,10,11.6,4.6,193.7,14.9,No,77.6,Yes,84.1,Good
103200,24.3,58,24,735.0,23.0,71,8.4,3.6,271.2,18.0,Yes,49.2,No,89.2,Excellent
103201,23.6,53,77,456.0,21.0,51,7.8,5.0,54.4,8.9,Yes,80.2,Yes,93.2,Excellent
103202,24.3,51,121,1416.0,29.0,0,11.7,0.0,196.4,23.4,No,95.4,Yes,98.1,Excellent
103203,23.7,35,113,1311.0,30.0,13,7.1,10.3,147.7,12.4,Yes,38.9,No,95.1,Excellent
103204,26.8,53,16,1116.0,58.0,93,11.6,7.0,59.1,23.0,Yes,75.3,Yes,46.4,Poor
103205,20.1,69,60,1499.0,45.0,84,3.2,16.2,282.7,18.2,Yes,59.3,Yes,66.9,Fair
103206,21.0,52,67,684.0,56.0,20,9.6,0.7,203.9,26.3,Yes,53.6,No,79.2,Good
103207,20.7,67,118,1121.0,45.0,33,10.4,0.8,150.0,17.3,Yes,70.1,Yes,81.7,Good
103208,25.5,39,120,785.0,23.0,101,12.8,15.9,291.7,7.2,Yes,69.3,No,71.7,Good
103209,25.7,45,40,1349.0,45.0,89,4.7,2.3,184.1,,Yes,63.9,No,56.6,Fair
103210,24.4,40,101,1169.0,57.0,104,9.3,0.0,51.0,23.9,Yes,62.7,Yes,58.0,Fair
103211,26.6,61,115,1239.0,47.0,13,7.2,3.2,333.3,29.2,Yes,72.2,No,74.7,Good
103212,19.5,35,22,410.0,21.0,117,6.6,14.8,126.7,4.6,No,90.5,Yes,77.2,Good
103213,28.0,53,128,1371.0,21.0,39,3.3,14.4,299.2,18.6,Yes,93.4,No,84.2,Good
103214,27.6,62,124,1071.0,35.0,34,3.6,6.1,294.9,15.8,No,80.6,Yes,74.9,Good
103215,25.2,41,66,659.0,42.0,41,12.0,12.0,98.7,20.8,Yes,46.6,No,75.1,Good
103216,28.3,56,135,792.0,42.0,81,11.0,9.1,192.2,29.4,No,81.2,No,53.7,Fair
103217,18.0,67,63,999.0,32.0,19,6.6,16.3,62.1,16.9,Yes,89.4,No,84.5,Good
103218,21.4,47,142,1439.0,40.0,59,11.9,1.0,156.4,,No,46.1,No,80.9,Good
103219,20.8,68,28,1155.0,58.0,8,3.0,14.6,269.3,11.7,Yes,66.6,Yes,79.8,Good
103220,25.2,42,86,1110.0,44.0,104,9.5,3.1,121.1,10.4,Yes,69.5,Yes,59.4,Fair
103221,19.8,69,78,1433.0,56.0,114,12.4,7.0,85.1,11.4,No,80.2,Yes,52.3,Fair
103222,25.3,59,53,876.0,68.0,108,12.1,3.5,202.1,,Yes,79.4,Yes,41.6,Poor
103223,27.1,70,47,423.0,32.0,32,6.5,12.6,211.1,10.0,Yes,51.9,No,79.4,Good
103224,25.1,42,71,711.0,34.0,48,10.9,12.2,252.7,6.8,Yes,73.6,No,79.7,Good
103225,23.9,63,31,861.0,47.0,67,7.1,9.9,277.7,14.8,Yes,65.5,No,70.5,Good
103226,20.0,65,82,421.0,,3,12.1,12.6,258.7,14.9,Yes,63.1,Yes,100.0,Excellent
103227,20.5,59,134,579.0,42.0,47,8.4,11.5,303.6,,Yes,58.7,No,81.0,Good
103228,26.7,54,14,1190.0,23.0,15,11.2,14.0,116.9,16.1,Yes,88.2,Yes,90.5,Excellent
103229,25.3,31,63,1129.0,66.0,46,2.9,4.3,220.9,15.0,Yes,88.9,No,57.2,Fair
103230,22.9,65,95,1148.0,69.0,25,9.1,7.7,158.0,8.5,Yes,65.1,Yes,74.8,Good
103231,21.7,47,12,1115.0,22.0,69,8.6,2.7,338.6,,Yes,69.3,Yes,85.8,Excellent
103232,16.9,34,47,738.0,58.0,36,9.3,7.7,182.1,4.5,Yes,94.5,No,56.8,Fair
103233,19.8,48,82,930.0,27.0,21,10.3,12.6,337.9,29.5,No,45.0,Yes,93.1,Excellent
103234,28.7,47,47,1091.0,62.0,105,13.0,12.4,280.7,15.3,No,71.7,Yes,41.4,Poor
103235,19.2,61,134,561.0,44.0,102,11.4,12.8,265.5,7.2,Yes,71.7,No,57.5,Fair
103236,23.6,50,79,1484.0,60.0,6,4.6,5.6,197.5,11.9,Yes,79.8,Yes,77.9,Good
103237,26.0,39,74,889.0,31.0,41,11.9,11.9,183.0,2.4,Yes,91.8,No,85.9,Excellent
103238,19.2,66,34,404.0,24.0,29,3.5,6.6,208.0,,Yes,78.8,No,90.4,Excellent
103239,23.6,51,25,475.0,52.0,73,9.5,17.0,138.1,11.4,No,86.8,No,63.0,Fair
103240,25.8,42,24,406.0,65.0,78,12.6,6.2,321.4,17.5,Yes,95.2,No,48.0,Poor
103241,23.0,46,140,1080.0,44.0,5,3.2,10.9,288.3,5.6,Yes,72.1,Yes,90.9,Excellent
103242,31.6,38,46,872.0,44.0,23,12.2,13.5,290.4,20.9,Yes,78.2,No,63.1,Fair
