DIGITAL_ID,WALKING_MINUTES,RUNNING_MINUTES,CYCLING_MINUTES,WORKOUT_MINUTES,EXERCISE_CALORIES,CODING_HOURS,AI_ASSISTANT_USAGE_HOURS,SOCIAL_MEDIA_HOURS,GAMING_HOURS,READING_HOURS,TV_STREAMING_HOURS,SMARTPHONE_UNLOCKS,NOTIFICATIONS,PRODUCTIVITY_SCORE
102035,95,65,97,96.8,1806,0.6,1.2,1.9,6.0,1.1,3.5,31,51,66.9
102036,101,41,78,76.0,1438,7.3,2.3,7.7,2.3,3.4,4.4,95,70,82.5
102037,4,18,9,15.2,268,,2.2,5.2,2.8,1.0,1.7,88,182,74.8
102038,85,16,14,32.2,612,6.5,2.0,2.4,4.8,4.2,4.4,61,75,92.0
102039,174,32,41,70.4,1344,2.8,2.9,7.4,3.5,1.3,1.1,179,123,62.4
102040,33,75,92,88.4,1618,5.7,1.3,5.9,0.2,2.0,2.0,149,38,92.8
102041,54,48,56,62.0,1144,7.7,3.1,2.3,5.1,1.5,4.5,27,218,85.2
102042,118,55,86,91.0,1710,9.3,0.7,3.0,0.3,3.2,4.0,73,130,100.0
102043,170,62,16,77.6,1428,,3.1,1.6,1.0,0.5,1.6,155,76,95.3
102044,157,2,59,56.2,1120,3.3,2.7,7.8,0.6,2.4,0.7,107,103,79.6
102045,113,48,8,54.6,996,4.6,2.7,4.1,0.5,1.7,0.3,160,236,95.4
102046,144,54,113,106.4,2020,9.3,1.9,7.2,0.2,4.4,5.0,48,32,100.0
102047,25,25,35,34.0,630,9.0,2.7,2.8,0.3,0.4,0.5,32,37,100.0
102048,135,71,72,98.4,1826,0.9,0.3,6.9,2.7,4.1,0.7,77,182,73.0
102049,46,51,79,71.4,1326,1.3,3.4,0.4,1.5,0.8,1.4,82,65,95.9
102050,112,6,35,40.0,788,5.0,0.2,7.9,0.8,0.4,2.7,106,72,75.6
102051,75,45,47,60.8,1126,1.1,0.6,7.3,4.0,1.0,4.7,106,207,56.0
102052,71,45,50,61.2,1134,3.5,2.3,2.9,1.4,0.5,1.5,93,92,89.9
102053,88,15,96,65.0,1270,1.5,3.0,6.2,0.1,2.6,3.3,57,242,85.5
102054,45,23,118,70.0,1354,6.4,0.3,6.0,2.5,4.9,0.5,88,191,91.0
102055,32,60,94,80.0,1480,9.5,3.7,7.2,1.9,0.2,2.8,88,248,81.3
102056,0,53,69,59.4,1082,10.0,3.9,2.5,1.9,2.3,1.1,148,230,100.0
102057,146,61,73,95.0,1778,3.8,2.4,3.7,2.7,1.9,1.3,149,167,85.0
102058,30,0,79,37.6,752,6.0,1.9,6.9,4.0,1.7,2.2,132,56,69.5
102059,141,48,67,83.8,1580,8.6,3.0,6.2,3.7,1.7,4.6,48,118,79.0
102060,52,24,117,71.6,1384,1.2,1.3,3.1,5.6,4.5,4.5,141,42,75.5
102061,47,9,21,23.2,446,6.9,2.0,6.8,3.1,0.1,2.5,26,80,71.4
102062,68,79,76,91.4,1670,4.1,3.7,0.4,2.8,3.9,0.7,74,97,100.0
102063,104,15,79,61.4,1198,2.1,3.8,6.3,1.3,1.3,1.7,26,153,76.4
102064,89,57,115,98.0,1846,4.0,3.7,1.7,4.5,1.9,3.0,111,173,84.4
102065,62,71,92,91.8,1694,0.8,,2.3,0.8,2.1,5.2,29,169,94.7
102066,72,28,5,33.2,608,7.0,0.9,3.9,2.9,1.5,5.8,99,54,88.4
102067,160,5,25,45.0,890,2.5,1.2,3.6,2.5,0.5,3.8,93,206,79.6
102068,168,15,74,72.2,1414,3.1,1.8,4.2,3.9,0.6,2.1,77,173,71.7
102069,88,19,87,63.8,1238,1.2,1.3,4.4,5.5,1.5,4.2,109,132,61.8
102070,175,79,92,119.2,2226,8.6,1.5,2.7,5.7,4.1,2.0,117,31,90.2
102071,12,70,2,45.2,764,4.9,2.5,1.4,1.0,0.7,3.8,59,102,100.0
102072,72,77,51,81.0,1466,5.7,3.1,6.1,1.6,3.7,1.5,161,152,90.1
102073,76,42,73,69.6,1308,,2.9,3.2,4.9,1.4,1.6,148,156,78.3
102074,158,25,59,70.2,1354,4.1,3.3,4.0,3.1,4.4,0.5,164,106,89.9
102075,67,89,62,91.6,1654,1.9,0.1,5.2,2.7,2.1,2.5,68,107,75.8
102076,97,77,64,91.2,1670,7.5,0.2,7.3,4.3,0.9,3.7,105,105,67.0
102077,124,70,51,87.2,1604,1.3,3.2,5.7,3.6,4.9,4.7,163,192,76.5
102078,101,32,106,81.8,1572,1.0,2.1,0.4,5.8,0.9,4.9,154,179,74.1
102079,131,25,89,76.8,1486,7.1,2.3,6.7,3.5,2.8,6.0,162,242,78.3
102080,101,44,75,76.6,1444,2.1,0.2,7.9,2.8,2.8,0.5,134,77,67.0
102081,18,83,13,58.6,1006,3.1,1.0,3.8,3.3,1.9,3.0,40,143,80.2
102082,81,62,88,88.6,1648,4.8,2.6,7.8,4.9,4.8,3.1,85,93,68.3
102083,140,66,71,96.0,1788,4.5,3.4,4.4,3.7,4.2,4.8,108,224,85.5
102084,22,51,106,77.4,1446,7.1,3.7,3.7,3.9,,1.6,157,179,92.2
102085,82,67,67,83.4,1534,6.2,2.0,2.7,5.8,4.9,0.4,71,102,87.3
102086,108,25,27,47.4,898,6.4,2.2,5.3,3.7,2.3,1.9,177,76,80.0
102087,74,74,70,87.2,1596,7.1,3.3,1.8,2.3,0.5,5.9,53,69,97.0
102088,128,1,9,29.8,594,2.9,2.2,0.8,4.1,3.8,5.4,113,135,93.5
102089,87,13,114,70.8,1390,3.2,2.1,0.2,4.0,1.9,2.4,105,210,91.3
102090,53,29,56,50.4,950,4.4,3.6,2.3,0.1,1.0,5.3,84,147,100.0
102091,88,48,99,86.0,1624,3.1,3.2,3.2,2.8,2.4,0.2,79,32,86.6
102092,142,11,65,61.0,1198,9.8,3.6,4.4,4.5,4.6,1.9,155,124,93.3
102093,64,89,89,101.8,1858,8.1,0.9,2.3,3.0,0.9,4.4,94,130,94.7
102094,75,43,116,87.2,1658,1.6,2.1,7.9,4.7,4.2,1.3,88,163,60.7
102095,142,32,49,67.2,1280,,3.4,2.3,2.7,2.1,1.2,64,171,83.8
102096,148,12,13,42.0,816,0.4,0.4,3.5,5.9,0.7,5.2,68,112,59.4
102097,146,77,15,81.4,1474,2.4,3.2,0.8,1.8,4.2,3.7,81,215,100.0
102098,59,87,53,85.2,1530,1.1,0.7,2.1,0.6,,5.9,168,111,100.0
102099,92,25,42,50.2,954,5.3,3.2,0.4,2.6,1.5,0.8,140,150,100.0
102100,160,20,41,60.4,1168,8.6,2.4,4.5,3.3,1.5,2.1,72,164,87.2
102101,48,27,80,57.8,1102,7.4,0.8,6.0,2.1,2.0,1.9,116,186,86.3
102102,34,47,109,78.6,1478,2.2,1.9,1.6,1.5,4.1,5.3,140,32,100.0
102103,171,39,21,66.0,1242,4.0,2.7,2.9,4.0,0.1,1.5,175,42,76.7
102104,101,65,67,86.0,1590,5.1,2.5,0.1,2.3,1.1,2.1,72,193,100.0
102105,10,72,18,52.4,904,8.1,1.7,6.7,3.8,3.5,0.9,28,134,80.9
102106,98,86,65,97.2,1772,8.4,3.6,6.2,4.7,2.0,4.7,94,118,74.5
102107,109,78,38,83.8,1520,9.1,,0.5,4.6,1.7,1.4,123,121,98.3
102108,73,76,72,89.0,1628,5.1,2.0,2.9,2.3,4.4,0.4,112,195,100.0
102109,173,22,18,55.0,1056,6.9,0.2,7.6,3.4,4.6,2.6,143,104,80.2
102110,8,80,15,55.6,952,,3.7,3.1,2.7,4.7,2.3,141,89,90.4
102111,2,47,53,49.8,902,5.7,0.7,4.2,5.2,1.4,1.1,80,155,72.8
102112,84,1,24,27.0,538,2.5,2.1,2.8,5.3,4.6,0.8,174,102,81.1
102113,25,83,111,99.2,1818,4.3,3.2,4.8,2.1,3.7,5.4,143,51,90.0
102114,71,19,17,32.4,610,6.3,0.9,7.8,0.6,0.8,0.4,169,178,80.8
102115,47,58,22,53.0,944,2.6,2.1,8.0,1.0,3.1,0.6,114,152,77.5
102116,155,45,116,104.4,1998,0.5,1.0,6.2,2.2,0.1,1.5,49,240,65.5
102117,116,2,84,58.0,1156,0.1,3.0,3.2,3.4,3.5,5.7,111,62,80.9
102118,153,54,10,67.0,1232,0.2,2.3,4.0,3.9,3.7,0.5,103,33,76.0
102119,152,11,38,52.2,1022,0.1,3.4,2.9,2.0,3.9,4.9,34,237,90.3
102120,11,39,104,67.2,1266,1.1,3.6,7.9,4.0,0.9,5.4,162,201,53.3
102121,132,65,67,92.2,1714,2.4,2.6,5.7,5.6,3.1,2.3,72,158,63.3
102122,47,77,24,65.2,1150,2.2,2.9,3.6,3.9,0.9,1.8,42,219,73.2
102123,36,15,62,41.0,790,9.9,2.2,0.1,1.0,4.7,4.1,89,236,100.0
102124,43,82,95,95.8,1752,3.1,1.5,4.2,3.5,3.4,4.2,128,179,82.1
102125,14,33,29,34.2,618,1.3,2.6,7.9,3.3,0.5,4.7,163,88,56.0
102126,42,43,44,51.8,950,5.5,3.6,4.2,5.2,0.9,5.0,106,66,70.9
102127,175,5,89,73.6,1462,8.6,1.7,1.5,2.1,3.3,1.6,26,180,100.0
102128,86,76,120,110.8,2064,6.8,1.3,0.2,2.5,,4.1,58,190,100.0
102129,69,63,60,75.6,1386,3.0,1.6,2.8,3.6,3.7,0.8,123,142,87.9
102130,45,21,99,61.2,1182,5.6,1.7,7.3,3.1,1.4,3.1,69,179,70.7
102131,107,17,50,51.6,998,7.1,0.3,8.0,4.3,3.3,3.7,67,221,70.6
102132,122,11,97,69.8,1374,7.3,2.0,7.6,0.2,0.9,1.0,68,156,85.9
102133,170,51,8,67.8,1254,6.7,2.0,5.8,3.4,2.7,0.5,101,219,81.3
102134,20,50,75,64.0,1180,8.7,,4.5,0.7,4.8,1.2,82,147,100.0
102135,150,70,1,72.4,1308,8.7,1.5,4.7,1.9,3.1,2.5,149,211,98.4
102136,106,47,101,89.8,1702,5.8,2.5,4.3,4.0,0.2,5.3,131,215,75.0
102137,79,18,4,28.2,528,4.3,3.5,5.7,0.9,4.9,3.2,173,169,96.0
102138,46,5,61,36.6,722,6.4,3.8,3.4,1.9,0.8,4.5,115,141,92.1
102139,116,83,68,100.2,1838,8.2,2.3,5.4,4.2,3.6,1.0,170,175,84.6
102140,123,26,51,60.6,1160,0.1,0.2,1.0,3.9,2.7,0.6,140,224,84.8
102141,142,52,85,93.6,1768,9.9,3.9,2.1,0.5,1.5,1.4,37,217,100.0
102142,24,47,4,34.6,598,1.8,2.8,6.7,3.5,0.9,1.9,107,154,62.0
102143,35,6,58,33.8,664,4.7,1.3,7.2,0.9,0.9,3.3,87,129,78.8
102144,50,58,67,71.6,1316,8.7,0.6,4.3,1.5,4.3,5.3,79,30,100.0
102145,14,68,8,46.8,800,2.3,0.6,0.3,2.8,4.4,2.6,149,150,100.0
102146,67,10,92,56.2,1104,4.8,,7.4,0.7,2.3,3.1,113,118,83.4
102147,20,14,21,20.8,388,1.3,0.2,5.6,6.0,0.5,0.0,68,49,51.7
102148,140,63,26,76.2,1398,4.0,3.6,3.3,1.0,4.4,0.2,178,46,100.0
102149,18,2,9,8.4,164,1.8,2.2,4.8,4.7,2.4,0.5,99,206,68.1
102150,33,68,79,79.0,1444,3.6,2.8,3.4,5.0,2.2,4.2,146,179,75.2
102151,77,22,105,70.6,1368,3.7,3.3,3.7,6.0,2.0,2.9,72,143,68.6
102152,124,52,105,98.0,1856,9.9,3.2,7.1,2.6,1.8,1.2,83,190,83.8
102153,116,36,60,68.8,1304,9.9,3.5,1.3,5.2,2.6,3.6,52,55,96.4
102154,51,8,50,35.0,684,1.1,3.9,0.8,5.7,3.0,3.3,77,56,79.5
102155,26,14,9,17.2,316,7.3,1.8,0.0,1.0,2.3,0.5,69,217,100.0
102156,156,2,5,34.4,684,0.5,3.8,2.5,2.9,4.5,3.8,83,191,90.0
102157,155,69,61,96.8,1798,0.3,2.9,1.2,0.4,1.6,4.6,150,116,98.6
102158,34,16,112,61.2,1192,1.1,0.3,1.8,3.7,2.9,1.7,144,109,85.2
102159,135,25,4,43.6,822,9.7,2.7,0.1,3.5,1.5,4.1,80,235,100.0
102160,143,20,69,68.2,1324,9.4,2.7,1.8,1.2,3.8,1.2,143,209,100.0
102161,105,71,62,88.4,1626,1.9,3.6,2.7,4.8,0.5,4.5,157,84,70.5
102162,163,20,55,66.6,1292,1.6,1.5,0.3,0.2,0.9,5.5,85,90,100.0
102163,157,10,58,60.6,1192,2.4,2.3,4.9,4.8,4.0,2.7,49,207,73.2
102164,145,37,62,76.0,1446,5.2,0.0,4.6,0.2,0.9,1.5,44,220,93.7
102165,1,71,110,86.8,1594,5.7,1.3,0.8,3.9,3.1,2.4,139,221,98.0
102166,176,87,88,122.6,2278,2.2,0.2,4.8,0.5,4.9,1.5,107,43,97.4
102167,76,34,58,58.8,1108,7.6,2.1,8.0,1.5,2.6,0.0,29,155,83.5
102168,131,13,50,54.0,1054,3.1,3.3,7.6,4.3,0.9,3.9,113,138,57.0
102169,89,13,49,45.2,878,9.2,,0.0,1.7,1.6,0.3,145,247,100.0
102170,88,9,3,24.2,466,6.6,2.1,6.4,3.1,4.1,1.3,118,151,84.4
102171,93,11,103,66.4,1306,4.4,,2.8,5.5,1.8,4.3,107,80,75.5
102172,6,37,47,42.2,770,7.9,0.5,0.5,0.3,3.6,4.0,39,142,100.0
102173,94,33,31,51.0,954,8.2,2.0,2.4,4.9,3.9,0.4,136,184,94.0
102174,107,40,119,93.0,1780,,0.3,2.6,0.4,2.5,4.0,122,197,100.0
102175,73,9,50,40.0,782,3.4,2.3,4.2,0.8,3.9,5.6,118,97,97.7
102176,38,16,51,37.6,720,9.4,0.1,5.3,0.7,1.6,0.4,142,38,98.9
102177,140,16,98,76.8,1504,1.6,0.4,6.0,6.0,2.6,2.5,93,213,57.0
102178,158,66,73,100.4,1876,0.4,2.2,2.0,1.1,3.4,4.4,174,248,97.5
102179,70,61,33,63.8,1154,4.5,2.4,2.6,5.4,0.8,4.0,70,68,74.0
102180,55,0,35,25.0,500,8.0,0.1,2.5,5.9,1.4,1.4,98,172,80.7
102181,169,11,69,68.0,1338,7.7,2.3,2.9,2.3,3.3,1.0,22,118,100.0
102182,41,3,42,26.8,530,9.2,3.4,8.0,3.8,3.3,4.7,176,47,77.3
102183,35,41,109,75.2,1422,5.3,2.9,6.2,4.7,2.5,5.7,99,81,69.8
102184,83,12,15,29.8,572,1.0,0.5,7.8,2.4,4.0,4.6,88,218,70.8
102185,117,84,58,97.0,1772,,2.4,5.5,1.0,2.4,5.8,40,66,92.0
102186,6,85,52,73.0,1290,7.8,2.7,3.3,2.6,4.4,3.6,61,109,100.0
102187,53,3,18,19.6,386,0.9,0.1,3.1,4.6,3.7,5.6,137,210,77.5
102188,128,81,97,113.0,2098,1.7,3.4,3.9,4.7,1.6,4.1,40,169,69.1
102189,171,68,88,110.2,2068,0.1,3.6,3.3,1.4,2.0,5.5,149,238,86.0
102190,119,18,94,72.2,1408,,3.4,6.6,1.0,3.3,1.0,154,182,90.3
102191,172,1,112,79.8,1594,8.9,3.3,3.7,5.5,4.5,4.9,54,108,89.0
102192,105,11,40,43.6,850,6.7,3.0,2.4,0.3,0.9,1.2,49,54,100.0
102193,46,80,80,89.2,1624,9.8,2.5,6.2,4.4,2.6,0.2,74,178,80.6
102194,122,73,46,86.6,1586,0.6,2.7,6.8,0.3,0.6,3.1,20,151,74.3
102195,140,5,93,68.2,1354,9.0,3.2,3.4,5.0,1.4,1.9,144,240,83.6
102196,118,7,102,68.6,1358,8.1,2.6,5.3,5.4,3.4,0.3,130,117,78.2
102197,149,50,53,81.0,1520,3.1,1.3,0.5,1.8,0.4,5.9,148,164,96.4
102198,117,10,54,51.0,1000,9.7,1.5,4.2,0.4,3.3,4.0,82,233,100.0
102199,20,62,94,78.8,1452,2.9,3.6,0.4,2.9,4.5,5.4,105,206,100.0
102200,136,56,18,68.0,1248,8.9,0.1,0.2,1.8,4.8,6.0,96,68,100.0
102201,25,11,61,36.0,698,8.8,2.8,4.9,2.5,1.1,2.4,141,104,88.8
102202,8,72,98,84.0,1536,7.6,3.8,2.4,4.0,3.7,1.5,174,126,96.7
102203,14,1,92,40.2,802,5.6,2.8,5.9,1.3,4.6,1.1,34,78,94.9
102204,9,7,58,29.2,570,1.2,4.0,7.2,2.1,0.5,3.1,146,246,64.6
102205,121,10,64,55.8,1096,5.3,2.8,1.1,4.7,2.1,3.6,156,191,89.0
102206,120,52,67,82.0,1536,3.6,0.1,5.8,3.9,,2.8,88,232,78.3
102207,124,9,27,41.0,802,7.9,3.3,4.1,2.0,1.0,2.3,78,173,92.4
102208,169,84,17,91.0,1652,7.6,1.1,0.9,4.0,4.7,1.0,170,125,100.0
102209,71,83,25,74.0,1314,9.1,1.8,5.2,4.6,2.6,2.7,127,172,82.2
102210,151,7,103,75.6,1498,0.1,1.2,4.9,3.6,0.5,0.5,132,69,64.1
102211,48,35,18,37.8,686,8.1,1.1,4.1,1.4,2.2,5.2,126,236,99.4
102212,153,75,54,97.2,1794,9.4,1.7,7.4,0.0,1.6,0.3,158,36,94.0
102213,90,13,118,73.0,1434,7.9,1.5,4.2,4.8,1.4,2.3,43,130,79.2
102214,36,53,56,61.4,1122,1.3,2.5,7.9,4.9,2.7,0.6,91,69,54.6
102215,67,84,5,65.8,1148,0.8,3.3,4.1,4.2,2.4,4.6,130,223,71.4
102216,49,85,0,60.8,1046,0.2,1.2,0.9,0.5,2.4,1.9,125,99,100.0
102217,151,20,7,45.0,860,6.3,0.9,3.8,3.5,0.4,0.7,178,132,81.1
102218,18,49,96,71.4,1330,6.3,2.7,1.5,4.9,4.0,3.2,169,121,94.1
102219,99,38,50,62.6,1176,9.9,2.7,4.8,2.3,2.4,5.5,33,51,96.3
102220,59,19,106,65.6,1274,4.0,3.6,5.5,1.2,4.1,5.5,24,130,92.3
102221,166,87,84,119.0,2206,3.3,0.1,3.7,3.5,4.1,1.5,146,216,86.6
102222,88,86,87,104.0,1908,6.2,3.4,0.8,5.0,1.6,4.3,36,162,89.0
102223,145,6,24,42.2,832,8.3,2.1,3.7,0.3,,0.2,101,175,100.0
102224,146,8,46,52.4,1032,9.4,2.5,0.7,3.6,4.6,0.8,90,40,100.0
102225,163,0,54,54.2,1084,8.0,0.4,5.5,3.9,3.8,3.0,109,148,85.9
102226,68,25,63,53.8,1026,4.3,1.7,6.3,3.6,0.5,1.4,98,37,66.9
102227,174,37,120,105.0,2026,,0.9,7.7,3.9,3.5,4.8,112,49,72.8
102228,48,37,106,74.2,1410,8.6,1.0,1.2,3.8,0.1,5.6,84,232,93.7
102229,107,60,82,90.2,1684,4.9,2.0,4.3,0.8,0.1,0.0,151,88,88.9
102230,160,43,92,94.6,1806,2.2,3.2,4.5,1.4,2.6,1.4,28,120,87.2
102231,118,85,116,121.0,2250,1.7,3.0,7.4,3.7,0.5,2.6,55,182,56.8
102232,148,43,9,59.0,1094,0.0,2.4,5.0,0.1,4.8,3.4,141,215,93.9
102233,149,73,55,95.6,1766,7.2,2.2,1.2,3.8,4.5,5.5,179,144,100.0
102234,175,61,11,76.0,1398,1.1,1.7,3.5,4.0,3.2,5.4,107,48,77.8
102235,36,5,32,23.0,450,2.4,3.9,5.2,1.4,0.3,3.8,140,154,77.9
102236,142,16,119,85.6,1680,3.0,2.2,5.6,3.6,1.6,1.5,165,159,70.4
102237,162,50,70,90.4,1708,5.6,1.0,6.9,3.2,1.9,4.7,162,135,73.3
102238,159,37,16,60.4,1134,4.0,0.9,1.4,1.6,2.4,1.2,39,215,100.0
102239,10,23,60,39.8,750,6.7,2.4,7.6,2.8,0.8,5.8,77,95,71.4
102240,137,50,9,61.0,1120,0.6,2.1,0.5,5.5,2.9,0.0,59,36,80.4
102241,77,9,30,32.8,638,1.2,0.0,7.9,2.6,2.2,3.4,85,80,64.4
102242,76,71,59,81.4,1486,5.0,3.3,6.9,3.8,4.7,0.5,108,124,77.5
102243,152,20,69,70.0,1360,3.4,2.8,5.3,0.2,4.7,2.4,160,190,98.7
102244,1,69,16,48.0,822,3.0,2.6,5.9,0.5,2.8,3.8,32,104,88.3
102245,63,84,49,82.6,1484,0.7,0.3,0.6,0.5,3.2,4.1,81,133,100.0
102246,34,56,36,54.8,984,9.0,,0.3,4.7,0.7,4.7,175,42,95.4
102247,6,38,81,56.4,1052,6.9,3.7,0.8,2.1,1.1,3.6,65,167,100.0
102248,84,87,61,93.4,1694,1.2,3.5,0.7,1.4,,1.5,162,142,100.0
102249,145,32,89,83.8,1612,0.7,1.1,4.4,4.5,3.5,5.3,112,88,71.8
102250,66,58,112,92.8,1740,9.7,0.6,1.7,1.0,0.9,4.9,42,67,100.0
102251,41,17,117,65.2,1270,6.8,1.8,6.9,1.5,2.9,1.0,120,49,87.2
102252,117,55,79,88.0,1650,4.2,1.4,3.6,2.6,4.7,5.0,86,242,95.1
102253,124,56,71,86.8,1624,7.0,2.7,5.6,2.0,1.7,5.8,133,43,86.7
102254,166,75,87,113.0,2110,7.6,3.9,5.2,3.5,0.9,3.8,85,245,79.6
102255,168,47,76,92.2,1750,7.8,1.5,2.6,2.0,4.7,1.7,69,69,100.0
102256,23,41,28,40.4,726,,0.2,1.9,2.4,2.3,3.6,160,164,96.9
102257,45,26,31,37.0,688,4.3,3.6,2.7,5.2,2.1,2.1,21,226,78.1
102258,18,73,87,82.2,1498,0.1,0.2,6.4,5.3,1.3,4.1,53,35,52.0
102259,67,51,79,75.6,1410,9.3,3.8,4.7,5.0,4.5,3.3,59,197,88.3
102260,101,41,10,48.8,894,6.0,2.7,2.0,5.2,4.2,5.6,88,210,90.6
102261,41,31,95,64.8,1234,2.0,3.8,6.5,3.4,2.0,3.7,172,38,67.0
102262,31,25,5,23.2,414,9.2,0.8,0.4,3.9,0.2,1.3,96,135,97.9
102263,166,24,34,61.2,1176,9.1,0.2,5.6,3.3,2.2,4.4,47,94,85.9
102264,108,74,32,78.8,1428,9.9,2.0,3.5,4.7,0.9,1.8,132,177,85.0
102265,35,22,17,27.0,496,8.7,1.8,5.9,3.3,0.7,1.6,75,163,79.4
102266,96,56,36,67.2,1232,10.0,1.3,7.4,0.7,2.0,2.4,131,125,92.9
102267,163,51,12,68.0,1258,2.4,3.8,6.0,4.9,0.5,0.1,173,234,57.8
102268,130,86,73,106.8,1964,8.4,3.3,3.5,4.6,4.8,5.8,174,68,94.2
102269,72,30,100,72.4,1388,8.2,2.6,1.2,4.9,0.2,3.2,45,152,87.7
102270,135,63,89,100.4,1882,2.3,0.7,6.5,1.1,2.0,4.6,34,50,79.1
102271,96,70,109,104.8,1956,1.0,2.9,3.7,1.6,0.8,1.5,69,66,81.6
102272,122,32,80,75.6,1448,9.8,2.9,0.6,1.8,3.4,4.5,153,41,100.0
102273,69,84,63,89.4,1620,3.0,1.7,5.8,3.0,0.4,3.4,87,227,69.0
102274,168,1,0,34.2,682,8.7,3.7,2.3,0.8,2.7,2.5,151,44,100.0
102275,12,17,62,37.4,714,0.0,0.7,0.4,2.3,3.9,5.8,177,178,98.6
102276,48,46,88,72.4,1356,0.2,1.1,7.2,1.1,4.8,3.0,96,114,80.5
102277,59,32,33,44.2,820,4.7,0.3,3.9,1.6,3.5,3.9,28,121,96.3
102278,129,83,102,116.4,2162,2.4,3.2,2.2,4.2,0.5,0.1,33,129,76.5
102279,4,34,9,24.8,428,,2.5,5.7,5.1,0.4,1.8,59,238,66.7
102280,171,50,83,97.4,1848,5.7,1.3,7.1,0.1,3.7,5.3,150,203,93.6
102281,26,17,6,17.8,322,0.8,0.7,0.0,3.4,1.1,4.6,52,228,87.9
102282,159,87,55,106.0,1946,1.6,0.2,5.5,0.2,2.2,3.2,98,244,86.8
102283,148,71,79,103.8,1934,3.9,0.7,6.1,0.5,4.9,5.4,79,138,95.6
102284,7,29,36,33.2,606,1.9,1.8,1.7,4.2,4.1,2.9,83,115,88.3
102285,49,43,28,46.8,850,7.9,1.0,3.9,4.4,4.2,3.4,81,167,90.8
102286,66,52,11,48.8,872,4.2,1.0,0.7,4.9,4.3,2.3,98,111,94.0
